detour_distance_km,detour_time_min,pickup_zone_risk,expected_extra_profit,fuel_cost_estimate,hour_of_day,is_raining,driver_historical_acceptance,target_accepted
5.93,11.19,0.12,62.68,11.86,10,0,0.51,1
14.29,28.59,0.53,141.47,28.57,14,0,0.66,1
11.11,29.09,0.1,131.46,22.23,14,0,0.98,1
9.18,13.01,0.28,111.82,18.36,16,0,0.78,1
2.76,4.55,0.07,51.64,5.52,10,0,0.78,1
2.76,3.07,0.6,50.48,5.52,20,0,0.66,1
1.34,4.9,0.24,35.97,2.68,5,1,0.6,1
13.06,17.82,0.09,139.73,26.12,6,0,0.59,1
9.22,11.21,0.06,91.92,18.43,10,0,0.64,1
10.77,13.14,0.45,91.93,21.53,23,1,0.71,1
0.8,0.87,0.17,25.36,1.6,4,0,0.75,1
14.56,18.28,0.03,108.2,29.13,0,0,0.44,1
12.57,13.29,0.22,146.79,25.14,20,0,0.9,1
3.58,7.17,0.75,54.28,7.16,0,0,0.68,1
3.14,5.0,0.19,42.1,6.27,12,0,0.93,1
3.16,12.13,0.71,55.53,6.32,23,0,0.78,1
4.91,19.24,0.58,63.55,9.82,1,0,0.75,1
8.11,18.85,0.34,64.46,16.22,17,0,0.88,1
6.76,20.77,0.15,56.73,13.53,5,0,0.93,1
4.72,10.61,0.36,48.35,9.45,13,0,0.7,1
9.37,24.48,0.22,80.72,18.74,10,0,0.92,1
2.52,9.3,0.32,48.28,5.05,4,1,0.72,1
4.74,5.08,0.13,69.49,9.47,21,0,0.69,1
5.81,22.69,0.16,57.27,11.62,18,0,0.67,1
7.11,8.87,0.37,67.94,14.23,12,0,0.51,1
11.89,32.64,0.31,132.4,23.77,11,0,0.31,1
3.4,3.63,0.03,57.69,6.79,8,1,0.61,1
7.96,8.65,0.42,77.42,15.91,3,0,0.76,1
9.09,12.28,0.24,98.89,18.18,5,0,0.79,1
1.17,1.56,0.13,33.18,2.35,3,0,0.43,1
9.31,36.65,0.49,116.77,18.62,21,0,0.79,1
2.97,3.01,0.22,53.41,5.95,0,0,0.54,1
1.44,1.59,0.24,30.03,2.89,16,0,0.84,1
14.26,15.48,0.4,160.26,28.52,16,0,0.78,1
14.5,19.48,0.21,104.08,29.0,9,0,0.52,1
12.22,24.03,0.04,133.83,24.44,17,0,0.62,1
4.92,5.34,0.12,55.05,9.83,22,0,0.5,1
1.92,4.09,0.45,38.99,3.83,13,0,0.81,1
10.42,15.51,0.1,82.46,20.84,2,0,0.7,1
6.88,21.19,0.34,86.48,13.76,16,0,0.65,1
2.27,2.41,0.31,42.6,4.54,23,0,0.63,1
7.68,21.6,0.34,104.48,15.36,23,0,0.93,1
1.0,2.39,0.25,29.8,2.0,3,1,0.72,1
13.69,20.47,0.12,138.51,27.37,22,0,0.81,1
4.25,5.17,0.2,64.6,8.5,1,1,0.71,1
10.11,14.14,0.21,90.66,20.21,14,0,0.66,1
5.02,11.84,0.53,68.9,10.04,5,0,1.0,1
8.04,32.07,0.41,100.99,16.08,8,0,0.52,1
8.43,10.3,0.12,85.29,16.85,6,0,0.56,1
3.18,3.22,0.39,57.92,6.36,21,1,0.73,1
14.56,16.98,0.07,129.08,29.12,9,0,0.48,1
11.74,19.72,0.3,85.64,23.48,1,0,0.46,1
14.12,15.22,0.28,120.61,28.25,19,0,0.67,1
13.47,24.18,0.14,96.75,26.95,13,0,0.56,1
9.17,14.25,0.07,87.63,18.34,5,0,0.86,1
13.87,22.81,0.13,101.75,27.73,4,0,0.8,1
1.78,3.04,0.13,34.4,3.57,4,0,0.77,1
3.34,4.02,0.13,54.91,6.68,19,0,0.74,1
1.16,1.79,0.38,26.32,2.31,11,0,0.41,1
5.22,10.7,0.04,66.65,10.43,23,1,0.65,1
6.14,13.83,0.49,52.56,12.27,7,1,0.87,1
4.43,15.93,0.12,69.63,8.87,20,0,0.61,1
12.52,18.21,0.32,163.31,25.03,6,0,1.0,1
5.67,13.43,0.37,67.92,11.35,15,0,0.82,1
4.57,12.67,0.48,67.49,9.15,17,0,0.84,1
8.37,11.3,0.39,96.58,16.74,15,0,0.73,1
2.54,3.34,0.18,38.78,5.09,18,0,0.84,1
12.13,14.9,0.14,101.48,24.26,9,1,0.63,1
1.58,2.52,0.41,36.3,3.16,8,0,0.92,1
14.81,16.09,0.44,138.62,29.62,22,0,0.5,1
11.7,12.28,0.28,153.84,23.4,21,0,0.51,1
3.38,3.95,0.12,60.0,6.76,22,0,0.67,1
0.58,0.8,0.22,23.75,1.16,5,1,0.52,1
12.32,25.79,0.36,130.02,24.65,17,0,0.52,1
10.75,10.89,0.11,114.15,21.5,2,1,0.74,1
11.07,24.3,0.33,142.63,22.14,13,0,0.61,1
11.68,29.06,0.17,134.93,23.37,4,0,0.76,1
1.57,2.71,0.16,34.56,3.15,13,0,1.0,1
5.7,19.47,0.24,75.57,11.4,17,0,0.58,1
2.18,2.22,0.48,36.84,4.36,2,0,0.9,1
13.01,18.83,0.38,172.56,26.03,6,0,0.68,1
9.54,14.28,0.33,71.54,19.08,1,0,0.74,1
5.3,7.14,0.76,47.57,10.6,5,1,0.9,1
1.42,2.28,0.47,31.24,2.84,9,1,1.0,1
5.01,18.28,0.24,50.47,10.02,20,0,0.76,1
5.22,7.35,0.22,65.96,10.43,18,0,0.82,1
11.08,14.08,0.41,76.1,22.16,12,0,0.79,1
9.74,17.32,0.33,100.08,19.49,23,0,0.93,1
13.36,16.34,0.09,114.41,26.73,21,1,0.77,1
7.35,17.48,0.14,67.14,14.69,10,0,0.79,1
2.23,5.37,0.09,38.12,4.47,8,0,0.59,1
10.84,29.22,0.12,139.07,21.68,16,0,0.73,1
11.53,21.8,0.17,130.56,23.06,10,0,0.63,1
8.64,9.76,0.24,72.86,17.28,12,0,0.56,1
11.68,13.41,0.18,119.18,23.36,2,0,0.67,1
7.66,14.26,0.18,108.26,15.32,9,0,0.57,1
8.08,11.68,0.34,85.24,16.16,23,0,0.43,1
6.7,8.47,0.24,75.56,13.4,0,0,0.6,1
0.87,2.02,0.5,30.07,1.74,23,0,0.79,1
2.06,5.49,0.39,32.28,4.13,4,0,0.63,1
0.96,0.98,0.35,29.7,1.91,23,0,0.61,1
9.73,13.64,0.42,89.01,19.46,11,0,0.66,1
5.06,5.13,0.11,75.95,10.12,6,0,0.53,1
7.87,15.64,0.37,62.37,15.75,11,0,0.55,1
13.66,17.57,0.16,183.0,27.32,6,0,0.66,1
4.11,9.87,0.5,62.71,8.23,11,0,0.74,1
6.45,14.47,0.28,65.09,12.9,3,0,0.4,1
11.46,18.07,0.17,138.29,22.91,16,0,0.6,1
3.82,7.8,0.54,63.75,7.64,15,0,0.48,1
1.62,4.3,0.36,29.36,3.23,17,0,0.68,1
4.7,10.51,0.22,73.57,9.4,1,0,0.92,1
2.84,10.25,0.56,41.34,5.68,16,0,0.6,1
13.98,17.96,0.58,90.54,27.96,9,0,0.62,1
12.22,19.74,0.23,90.7,24.44,15,0,0.79,1
9.68,30.2,0.04,128.4,19.37,6,0,0.86,1
13.14,34.68,0.22,176.04,26.27,13,1,0.66,1
12.15,37.18,0.37,156.94,24.31,19,0,0.88,1
3.21,4.52,0.2,45.93,6.41,14,0,0.45,1
13.44,41.92,0.1,177.67,26.88,9,0,0.96,1
8.32,10.2,0.28,85.3,16.64,22,0,0.79,1
12.21,46.0,0.17,90.76,24.42,23,0,0.51,0
13.49,30.87,0.42,119.67,26.99,21,0,0.49,1
5.11,5.57,0.06,81.28,10.22,7,0,0.61,1
2.1,2.66,0.53,39.66,4.19,1,0,0.74,1
3.81,12.49,0.46,48.08,7.61,16,0,0.92,1
6.69,7.73,0.07,82.71,13.39,8,0,0.66,1
12.36,19.94,0.12,118.94,24.72,8,0,0.73,1
12.98,14.67,0.23,89.41,25.96,14,0,0.89,1
0.6,0.86,0.53,23.85,1.2,12,0,0.63,1
7.91,10.38,0.15,60.59,15.81,8,1,0.78,1
6.55,6.58,0.2,64.45,13.1,3,0,0.79,1
3.72,8.77,0.42,57.86,7.44,8,0,0.6,1
2.24,3.12,0.28,34.22,4.48,8,0,0.91,1
5.4,9.06,0.25,66.92,10.79,14,0,0.61,1
14.17,50.69,0.12,160.46,28.34,10,0,0.75,0
5.19,19.88,0.4,65.85,10.37,20,0,0.72,1
8.02,23.64,0.52,60.98,16.04,12,0,0.51,1
10.69,14.51,0.41,100.67,21.39,16,0,0.48,1
5.77,8.55,0.26,66.71,11.55,23,1,1.0,1
14.59,21.94,0.32,127.96,29.18,0,0,0.77,1
14.46,52.78,0.19,147.55,28.91,2,0,0.95,0
4.15,6.9,0.38,55.66,8.3,2,0,0.82,1
7.71,8.17,0.36,68.67,15.42,20,1,0.74,1
4.86,8.87,0.33,69.91,9.73,14,0,0.76,1
4.63,6.44,0.2,48.37,9.26,4,0,0.93,1
1.03,1.24,0.25,28.5,2.07,20,0,0.71,1
9.34,11.14,0.17,116.13,18.68,3,0,0.65,1
7.79,12.18,0.31,96.96,15.58,0,0,0.84,1
1.25,1.4,0.22,30.0,2.49,3,1,0.5,1
4.54,8.35,0.2,67.78,9.08,7,0,0.77,1
13.67,14.91,0.78,156.65,27.34,20,0,0.86,1
3.97,9.24,0.04,50.56,7.95,6,0,0.52,1
2.6,5.65,0.34,49.31,5.2,0,0,0.88,1
7.6,26.21,0.08,65.53,15.19,4,0,0.45,1
14.79,17.47,0.26,131.08,29.58,12,0,0.53,1
4.01,7.12,0.41,59.64,8.02,11,1,0.75,1
10.25,24.29,0.13,133.84,20.49,7,0,1.0,1
11.54,27.24,0.06,103.78,23.09,20,1,0.48,1
3.95,4.26,0.34,55.23,7.89,16,0,0.71,1
11.06,12.63,0.15,76.21,22.12,1,0,0.58,1
5.83,8.77,0.11,64.31,11.67,21,0,0.78,1
